epoch;loss;accuracy
0;0.47017285594175895;0.5
1;0.39789085712951106;0.5
2;0.33606865005320097;0.5
3;0.28337737161075044;0.5
4;0.2386026316662352;0.5
5;0.20065217119293424;0.5
6;0.16855607807299758;0.5
7;0.14146182943591237;0.5
8;0.11862638843395294;0.5
9;0.09940660393581545;0.5
10;0.08324892328513143;0.5
11;0.06967915496735405;0.5
12;0.058292691023649236;0.5
13;0.04874544449749168;0.5
14;0.040745562078193465;0.5
15;0.0340460981019985;0.5
16;0.028438495300992288;0.5
17;0.023746907988994533;0.5
18;0.019823271620921713;0.5
19;0.01654307623534206;0.5
20;0.0138017117496112;0.5
21;0.011511370120599178;0.5
22;0.009598390180724224;0.5
23;0.008001035739252909;0.5
24;0.006667571452989111;0.5
25;0.005554684705965734;0.5
26;0.004626117298482143;0.5
27;0.0038515345507309285;0.5
28;0.003205560204968245;0.5
29;0.0026669738651424273;0.5
30;0.0022180384869661535;0.5
31;0.0018439285333770612;0.5
32;0.001532260060568455;0.5
33;0.0012726853153908313;0.5
34;0.0010565602531364172;0.5
35;0.0008766708600246974;0.5
36;0.0007269907063753427;0.5
37;0.0006024924090771188;0.5
38;0.0004989790612158192;0.5
39;0.0004129491878014711;0.5
40;0.0003414805642742457;0.5
41;0.000282137665238957;0.5
42;0.00023288831569056516;0.5
43;0.00019203885589914825;0.5
44;0.00015817679088752084;0.5
45;0.00013012576103519835;0.5
46;0.00010690534718784555;0.5
47;8.769852679943418e-05;0.5
48;7.182548657976275e-05;0.5
49;5.871981060159221e-05;0.5
50;4.7910527599622486e-05;0.5
51;3.9005237784117656e-05;0.5
52;3.167795680868618e-05;0.5
53;2.5657464562195646e-05;0.5
54;2.071855885584072e-05;0.5
55;1.6673800811592834e-05;0.5
56;1.3367807569046741e-05;0.5
57;1.0671544565626484e-05;0.5
58;8.478002629088795e-06;0.5
59;6.698326132079179e-06;0.5
60;5.2590032931331535e-06;0.5
61;4.099175059357038e-06;0.5
62;3.1684021415677404e-06;0.5
63;2.4250454519370923e-06;0.5
64;1.8347236949579925e-06;0.5
65;1.3690253736865466e-06;0.5
66;1.0045761992337576e-06;0.9375
67;7.220921325069588e-07;0.9375
68;5.057549906966094e-07;0.9375
69;3.4257008962120124e-07;0.9375
70;2.218880661890248e-07;0.9375
71;1.3500458395000786e-07;0.9375
72;7.480594812546579e-08;0.9375
73;3.5513752634794684e-08;0.9375
74;1.2434526444368262e-08;0.9375
75;1.7615829276714287e-09;0.9375
76;4.3276889173883494e-10;0.9375
77;5.98813005331091e-09;0.9375
78;1.6462443072956974e-08;0.9375
79;3.029881102886282e-08;0.9375
80;4.6264566939056815e-08;0.9375
81;6.339763674055381e-08;0.9375
82;8.095876417182944e-08;0.9375
83;9.83786101535642e-08;0.9375
84;1.1524047930810275e-07;0.9375
85;1.3122893297123072e-07;0.9375
86;1.4611314930172075e-07;0.9375
87;1.5976200231324332e-07;0.9375
88;1.7208336850662044e-07;0.9375
89;1.8302212727132418e-07;0.9375
90;1.9258260232860554e-07;0.9375
91;2.0076311665408089e-07;0.9375
92;2.0760320044634713e-07;0.9375
93;2.1316178802009407e-07;0.9375
94;2.1748061010208237e-07;0.9375
95;2.2064028730855984e-07;0.9375
96;2.2270847698303662e-07;0.9375
97;2.2374541327997164e-07;0.9375
98;2.2384594571595755e-07;0.9375
99;2.230757072422073e-07;0.9375
100;2.2147839709239094e-07;0.9375
101;2.1914924648552806e-07;0.9375
102;2.1614008458778289e-07;0.9375
103;2.1253431828700267e-07;0.9375
104;2.0837444123597774e-07;0.9375
105;2.0371456851224293e-07;0.9375
106;1.9863260511076274e-07;0.9375
107;1.9316377353356672e-07;0.9375
108;1.8734558881911263e-07;0.9375
109;1.8123010344732196e-07;0.9375
110;1.7486841758793984e-07;0.9375
111;1.6829168338450422e-07;0.9375
112;1.6154318812168322e-07;0.9375
113;1.5464284134157178e-07;0.9375
114;1.4763415286956196e-07;0.9375
115;1.4055201192013699e-07;0.9375
116;1.3342462873991877e-07;0.9375
117;1.2627290917653704e-07;0.9375
118;1.1912435180310216e-07;0.9375
119;1.1200565420033231e-07;0.9375
120;1.0494026782031047e-07;0.9375
121;9.79534868368634e-08;0.9375
122;9.105829112185903e-08;0.9375
123;8.428046522578728e-08;0.9375
124;7.764559910387933e-08;0.9375
125;7.116095673554395e-08;0.9375
126;6.485548684129214e-08;0.9375
127;5.874224974797966e-08;0.9375
